jobTitle,companyName,postingDate,salaryRange,industry,recruiterPhone,location,jobType,skills,recruiterEmail,url
Accounts Officer,Al Razzaq Fibres,2025-12-15 14:02:55.394000+00:00,,,,Karachi,Full-time,['ACCA Qualified'],careers@alrazzaqfibres.com,"{path: https://www.linkedin.com/posts/al-razzaq-fibres-pvt-ltd-saya_alrazzaqfibres-saya-careers-activity-7406213671187746817-pYRk?utm_source=social_share_send&utm_medium=android_app&rcm=ACoAADU3k1QBACy_B8qblvYwmXfEbQry9ttcvj0&utm_campaign=share_via, thumbnail: null, duration: null, type: text, mimeType: text/plain, message: null}"
Senior Electrical Engineer,Style Textile,2025-12-15 14:04:57.060000+00:00,,,,Lahore,Full-time,['PLCs and PFDs'],toqir.faisal@styletextile.com,"{path: https://www.linkedin.com/posts/styletextile_nowhiring-employmentopportunity-stylecareers-activity-7406182307516215296-NCMf?utm_source=social_share_send&utm_medium=android_app&rcm=ACoAADU3k1QBACy_B8qblvYwmXfEbQry9ttcvj0&utm_campaign=share_via, thumbnail: null, duration: null, type: text, mimeType: text/plain, message: null}"
Fire Safety Manager,Style Textile,2025-12-15 14:29:26.846000+00:00,,,,Lahore,Full-time,['Fire Safety'],maheen.hussain@styletextile.com,"{path: https://www.linkedin.com/posts/styletextile_nowhiring-employmentopportunity-stylecareers-activity-7406182749256155136-FlnI?utm_source=social_share_send&utm_medium=android_app&rcm=ACoAADU3k1QBACy_B8qblvYwmXfEbQry9ttcvj0&utm_campaign=share_via, thumbnail: null, duration: null, type: text, mimeType: text/plain, message: null}"
Lead Manager Social Media,Dr. Ziauddin Hospital,2025-12-15 14:31:43.944000+00:00,,,,Karachi,Full-time,['Social Media Handling'],talentacquisition.zhn@zu.com.pk,"{path: https://www.linkedin.com/posts/ziauddinhospitals_submit-your-resume-to-talentacquisitionzhn-activity-7406212576918884352-oszu?utm_source=social_share_send&utm_medium=android_app&rcm=ACoAADU3k1QBACy_B8qblvYwmXfEbQry9ttcvj0&utm_campaign=share_via, thumbnail: null, duration: null, type: text, mimeType: text/plain, message: null}"
Officer Regulatory Reporting,Habib Metro Bank,2025-12-16 19:54:07.360000+00:00,,,,Karachi,Full-time,"['MBA Finance', 'ACCA Qualified']",,"{path: https://www.linkedin.com/posts/maroof-international-hospital_hiring-jobopportunity-joinourteam-activity-7406571870281502720-6j10?utm_source=social_share_send&utm_medium=android_app&rcm=ACoAADU3k1QBACy_B8qblvYwmXfEbQry9ttcvj0&utm_campaign=share_via, thumbnail: null, duration: null, type: text, mimeType: text/plain, message: null}"
Assistant Manager Accounts & Finance,Omar Jibran Engineering Industries Limited,2025-12-16 19:57:04.122000+00:00,,,,Karachi,Full-time,['CA Finalist'],careers@ojengg.com,"{path: https://www.linkedin.com/posts/omarjibran_we-are-hiring-position-assistant-manager-activity-7406675657969037312-tPd8?utm_source=social_share_send&utm_medium=android_app&rcm=ACoAADU3k1QBACy_B8qblvYwmXfEbQry9ttcvj0&utm_campaign=share_via, thumbnail: null, duration: null, type: text, mimeType: text/plain, message: null}"
Officer Complaince,Imtiaz,2025-12-16 19:59:30.995000+00:00,,,,Karachi,Full-time,['BBA / MBA'],jobs@imtiaz.com.pk,"{path: https://www.linkedin.com/posts/imtiazstoreofficial_we-are-seeking-a-dedicated-and-detail-oriented-activity-7406661542760312832-EOuc?utm_source=social_share_send&utm_medium=android_app&rcm=ACoAADU3k1QBACy_B8qblvYwmXfEbQry9ttcvj0&utm_campaign=share_via, thumbnail: null, duration: null, type: text, mimeType: text/plain, message: null}"
Senior Manager IT Risk,Raqami Bank,2025-12-16 20:01:50.958000+00:00,,,,Karachi,Full-time,['Risk Frameworks'],careers@raqamidigital.com,"{path: https://www.linkedin.com/posts/raqamibank_senior-manager-itisbcp-risk-were-hiring-activity-7406669076107853826-ZovX?utm_source=social_share_send&utm_medium=android_app&rcm=ACoAADU3k1QBACy_B8qblvYwmXfEbQry9ttcvj0&utm_campaign=share_via, thumbnail: null, duration: null, type: text, mimeType: text/plain, message: null}"
Officer Internal Audit,Imtiaz,2025-12-16 20:02:59.216000+00:00,,,,Karachi,Full-time,['ACCA Qualified'],jobs@imtiaz.com.pk,"{path: https://www.linkedin.com/posts/imtiazstoreofficial_we-are-seeking-a-dedicated-and-detail-oriented-activity-7406660296599109634-Widb?utm_source=social_share_send&utm_medium=android_app&rcm=ACoAADU3k1QBACy_B8qblvYwmXfEbQry9ttcvj0&utm_campaign=share_via, thumbnail: null, duration: null, type: text, mimeType: text/plain, message: null}"
Assistant Manager Internal Audit,Clive Shoes,2025-12-16 20:23:31.670000+00:00,,,,Lahore,Full-time,['ACCA Qualified'],jobs@clivesshoes.com,"{path: https://www.linkedin.com/posts/cliveshoesofficial_hiring-internalaudit-auditjobs-activity-7406647864510033920-kLkX?utm_source=social_share_send&utm_medium=android_app&rcm=ACoAADU3k1QBACy_B8qblvYwmXfEbQry9ttcvj0&utm_campaign=share_via, thumbnail: null, duration: null, type: text, mimeType: text/plain, message: null}"
Designer Knits,Chase Up,2025-12-17 12:54:51.496000+00:00,,,,Karachi,Full-time,['Knits Designer Experience'],careers@chaseup.com.pk,"{path: https://www.linkedin.com/posts/chase-up_job-alert-position-title-designer-knits-activity-7406962416841965569-uayp?utm_source=social_share_send&utm_medium=android_app&rcm=ACoAADU3k1QBACy_B8qblvYwmXfEbQry9ttcvj0&utm_campaign=share_via, thumbnail: null, duration: null, type: text, mimeType: text/plain, message: null}"
Sales Executive,Dawn Foods Corp Limited,2025-12-17 12:58:17.433000+00:00,,,,Gujrat,Full-time,"['Meet Sales', 'Maintain Client Relationship']",hr@dawnbread.com.pk,"{path: https://www.linkedin.com/posts/dawncorporation_hiring-position-sales-executive-location-activity-7406964116113739776-wLPK?utm_source=social_share_send&utm_medium=android_app&rcm=ACoAADU3k1QBACy_B8qblvYwmXfEbQry9ttcvj0&utm_campaign=share_via, thumbnail: null, duration: null, type: text, mimeType: text/plain, message: null}"
Executive Color Development Lab,Style Textile,2025-12-17 15:12:29.542000+00:00,,,,Lahore,Full-time,"['MS 365', 'ERP and IMS']",fidia.asif@styletextile.com,"{path: https://www.linkedin.com/posts/maroof-international-hospital_hiring-jobopportunity-joinourteam-activity-7406571870281502720-6j10?utm_source=social_share_send&utm_medium=android_app&rcm=ACoAADU3k1QBACy_B8qblvYwmXfEbQry9ttcvj0&utm_campaign=share_via, thumbnail: null, duration: null, type: text, mimeType: text/plain, message: null}"
Assistant Manager Corporate,Sanaullah & Co,2025-12-17 15:15:30.852000+00:00,,,,Karachi,Full-time,['MS Office'],,"{path: https://www.linkedin.com/posts/sanaullah-co_sanaullah-co-is-hiring-%F0%9D%9F%AC%F0%9D%9F%AD%F0%9D%98%85-%F0%9D%97%94%F0%9D%98%80%F0%9D%98%80%F0%9D%97%B6%F0%9D%98%80%F0%9D%98%81%F0%9D%97%AE%F0%9D%97%BB%F0%9D%98%81-activity-7406989389618216960-yxxq?utm_source=social_share_send&utm_medium=android_app&rcm=ACoAADU3k1QBACy_B8qblvYwmXfEbQry9ttcvj0&utm_campaign=share_via, thumbnail: null, duration: null, type: text, mimeType: text/plain, message: null}"
HOD Industrial Engineering,Cotton Web Limited,2025-12-17 17:16:50.927000+00:00,,,,Karachi,Full-time,['BBA / MBA'],hr@cottonweb.net,"{path: https://www.linkedin.com/posts/maroof-international-hospital_hiring-jobopportunity-joinourteam-activity-7406571870281502720-6j10?utm_source=social_share_send&utm_medium=android_app&rcm=ACoAADU3k1QBACy_B8qblvYwmXfEbQry9ttcvj0&utm_campaign=share_via, thumbnail: null, duration: null, type: text, mimeType: text/plain, message: null}"
Resource Development Manager,Dr. Ziauddin Hospital,2025-12-17 17:20:01.296000+00:00,,,,Karachi,Full-time,['CSR Frameworks'],talentacquisition.zhn@zu.com.pk,"{path: https://www.linkedin.com/posts/ziauddinhospitals_submit-your-resume-to-talentacquisitionzhn-activity-7407008324728299520-eCFs?utm_source=social_share_send&utm_medium=android_app&rcm=ACoAADU3k1QBACy_B8qblvYwmXfEbQry9ttcvj0&utm_campaign=share_via, thumbnail: null, duration: null, type: text, mimeType: text/plain, message: null}"
Store Manager,Sana Safinaz,2025-12-18 14:08:47.384000+00:00,,,,Karachi,Full-time,['Fashion Retail'],careers.retail@sanasafinaz.com,"{path: https://www.linkedin.com/posts/sanasafinaz_join-our-dynamic-fashion-retail-team-at-sana-activity-7407342180349980672-ucGU?utm_source=social_share_send&utm_medium=android_app&rcm=ACoAADU3k1QBACy_B8qblvYwmXfEbQry9ttcvj0&utm_campaign=share_via, thumbnail: null, duration: null, type: text, mimeType: text/plain, message: null}"
Deputy Manager Reporting,Al Razzaq Fibres,2025-12-19 11:40:18.780000+00:00,,,,Karachi,Full-time,['CA Finalist'],careers@alrazzaqfibres.com,"{path: https://www.linkedin.com/posts/al-razzaq-fibres-pvt-ltd-saya_alrazzaqfibres-saya-careers-activity-7407668135018946560-Hxh-?utm_source=social_share_send&utm_medium=android_app&rcm=ACoAADU3k1QBACy_B8qblvYwmXfEbQry9ttcvj0&utm_campaign=share_via, thumbnail: null, duration: null, type: text, mimeType: text/plain, message: null}"
Senior Electrical Engineer,Style Textile,2025-12-19 13:51:41.815000+00:00,,,,Lahore,Full-time,['Maintenance and Troubleshooting'],toqir.faisal@styletextile.com,"{path: https://www.linkedin.com/posts/shahidalinaeem_wearehiring-muslimhands-developmentjobs-activity-7407285110406008832-joey?utm_source=social_share_send&utm_medium=android_app&rcm=ACoAADU3k1QBACy_B8qblvYwmXfEbQry9ttcvj0&utm_campaign=share_via, thumbnail: null, duration: null, type: text, mimeType: text/plain, message: null}"
