description,company_name,job_title,location,time_posted,applicants,type_info,company_info,skills
"About the job
Overview

We are seeking Product Management Intern who can manage advanced internet applications, produce interactive mobile applications, and ensure high quality of deliverables.

Major Duties & Responsibilities

Managing the entire product line life cycle from strategic planning to tactical activities Specifying market requirements for current and future products by conducting market research supported by ongoing visits to customers and non-customers.
Driving a solution set across development teams (primarily Development/Engineering, and Marketing Communications) through market requirements, product contract, and positioning. Developing and implementing a company-wide go-to-market plan, working with all departments to execute.
Analyzing potential partner relationships for the product.
Assesses market competition by comparing the company's product to competitors' products, and through other methods such as customer surveys.
Gain a deep understanding of customer experience, identify and fill product gaps and generate new ideas that grow market share, improve customer experience and drive growth.
Developing product pricing and positioning strategies
Translating product strategy into detailed requirements and prototypes
Adhering to Arkhitech's policies, standards and procedures in the performance of job duties.
Other duties as assigned.

Qualifications

Undergraduate or Graduate degree in Computer Sciences. 
Hands-on experience in creating wireframes and mockups using Figma or similar tools is desirable.
Good verbal and written communication and presentation skills.
High energy level with strong motivation to meet delivery deadlines.
Excellent interpersonal and communication skills.

Key Benefits

Bi-annual performance bonus
Daily catered lunch and attendance bonus
Accelerated learning and career growth!",Howmuch,Product Management Intern,"Lahore, Punjab, Pakistan ", 11 months ago , 0 applicants,On-site Full-time Internship,On-site Full-time Internship,"Communication, Presentation Skills, and Problem SolvingAnalytical Skills, High Energy Level, Interpersonal Communication, Market Research, Presentations, Product Strategy, and Written Communication"
"About the job
About Fusemachines

Fusemachines is a leading AI strategy, talent, and education services provider. Founded by Sameer Maskey Ph.D., Adjunct Associate Professor at Columbia University, Fusemachines has a core mission of democratizing AI. With a presence in 4 countries (Nepal, United States, Canada, and Dominican Republic and more than 450 full-time employees). Fusemachines seeks to bring its global expertise in AI to transform companies around the world.

About the role:

This is a remote, contract position responsible for designing, building, and maintaining the infrastructure required for data integration, storage, processing, and analytics (BI, visualization and Advanced Analytics).

We are seeking skilled Data Engineers with a strong background in Python, Pyspark, and cloud-based big data applications. The ideal candidate will develop in an Agile environment, contributing to the architecture, design, and implementation of Big Data products. This role involves hands-on coding and collaboration with multi-disciplined teams to achieve project objectives.

Contract Duration: 6 months

Qualification & Experience

Must have a full-time Bachelor's degree in Computer Science or similar
At least 3- 4 years of experience as a data engineer with strong expertise in Azure, Databricks or other hyperscalers
2+ years of experience with Azure DevOps, Azure Cloud Platform, or other hyperscalers
Proven experience delivering projects for Data and Analytics, as a data engineer
Must have knowledge in SQL
Following certifications (Minimum 1 required):
Microsoft Certified: Azure Fundamentals
Microsoft Certified: Azure Data Engineer Associate
Databricks Certified Associate Developer for Apache Spark
Databricks Certified Data Engineer Associate, nice to have
AWS Certified Data Engineer - Associate
Google: Professional Data Engineer
Required Skills/Competencies

Strong Programming Skills in one or more languages such as Python (must have), Scala, and proficiency in writing efficient and optimized code for data integration, storage, processing and manipulation
Strong experience with scalable and distributed Data Processing Technologies such as Spark/PySpark (must have: experience with Azure Databricks is a plus), DBT and Kafka, to be able to handle large volumes of data
Strong experience in designing and implementing efficient ELT/ETL processes in Azure and using open source solutions being able to develop custom integration solutions as needed
Skilled in Data Integration from different sources such as APIs, databases, flat files, event streaming
Expertise in data cleansing, transformation, and validation
Proficiency with Relational Databases (Oracle, SQL Server, MySQL, Postgres, or similar) and NonSQL Databases (MongoDB or Table)
Good understanding of Data Modeling and Database Design Principles. Being able to design and implement efficient database schemas that meet the requirements of the data architecture to support data solutions
Strong experience in designing and implementing Data Warehousing solutions in Azure with Azure Synapse Analytics and Snowflake or Databricks
Strong understanding of the software development lifecycle (SDLC), especially Agile methodologies
Strong knowledge of SDLC tools and technologies Azure DevOps, including project management software (Jira, Azure Boards or similar), source code management (GitHub, Azure Repos, Bitbucket or similar), CI/CD system (GitHub actions, Azure Pipelines, Jenkins or similar) and binary repository manager (Azure Artifacts or similar)
Strong understanding of DevOps principles, including continuous integration, continuous delivery (CI/CD), infrastructure as code (IaC), configuration management, automated testing and cost management
Knowledge in cloud computing specifically in Microsoft Azure services related to data and analytics, such as Azure Data Factory, Azure Databricks, Azure Synapse Analytics (formerly SQL Data Warehouse), Azure Stream Analytics, SQL Server, Azure Blob Storage, Azure Data Lake Storage, Azure SQL Database, etc
Experience in Orchestration using technologies like Apache Airflow
Strong analytical skills to identify and address technical issues, performance bottlenecks, and system failures
Proficiency in debugging and troubleshooting issues in complex data and analytics environments and pipelines
Good understanding of Data Quality and Governance, including implementation of data quality checks and monitoring processes to ensure that data is accurate, complete, and consistent
Experience with BI solutions including PowerBI and Tableau is a plus
Good Problem-Solving skills: being able to troubleshoot data processing pipelines and identify performance bottlenecks and other issues
Strong written and verbal communication skills to collaborate with cross-functional teams, including data architects, DevOps engineers, data analysts, data scientists, developers, and operations teams
Ability to document processes, procedures, and deployment configurations
Understanding of Azure security practices, including network security groups, Azure Active Directory, encryption, and compliance standards
Ability to implement security controls and best practices within data and analytics solutions, including proficient knowledge and working experience on various cloud security vulnerabilities and ways to mitigate them
Self-motivated with the ability to work well in a team
A willingness to stay updated with the latest Azure services, Data Engineering trends, and best practices in the field
Care about architecture, observability, testing, and building reliable infrastructure and data pipelines

Responsibilities

Design, develop, test and maintain high-performance, large-scale, complex data architectures, which support data integration (batch and real-time, ETL and ELT patterns from heterogeneous data systems: APIs and platforms), storage (data lakes, warehouses, marts, etc), processing, orchestration and infrastructure. Ensuring the scalability, reliability, and performance of data systems
Contribute to detailed design, architectural discussions, and customer requirements sessions
Actively participate in the design, development, and testing of big data products.
Assess best practices and design schemas that match business needs for delivering a modern analytics solution (descriptive, diagnostic, predictive, prescriptive)
Design and develop clear, maintainable code with automated testing using Pytest, unittest, integration tests, performance tests, regression tests, etc
Collaborating with cross-functional teams and Product, Engineering, Data Scientists and Analysts to understand data requirements and develop data solutions, including reusable components meeting product deliverables
Evaluating and implementing new technologies and tools to improve data integration, data processing, storage and analysis
Evaluate, design, implement and maintain data governance solutions: cataloging, lineage, data quality and data governance frameworks that are suitable for a modern analytics solution, considering industry-standard best practices and patterns
Ensure data quality and accuracy
Design, Implement and maintain data security and privacy measures
Be an active member of an Agile team, participating in all ceremonies and continuous improvement activities, being able to work independently as well as collaboratively

Fusemachines is an Equal Opportunities Employer, committed to diversity and inclusion. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or any other characteristic protected by applicable federal, state, or local laws. 

Powered by JazzHR

xbBMOfViv0",Fusemachines,Data Engineer,"Islamabad, Islāmābād, Pakistan ", 5 months ago , Over 100 applicants,Remote Contract Mid-Senior level,Remote Contract Mid-Senior level,"Computer Science and DatabasesAzure Databricks, Custom Integration, Data Architecture, Data Integration, Data Modeling, Database Design, Extract, Transform, Load (ETL), and Scala"
"About the job
A prominent US client is seeking Data Scientists.

As a Data Scientist on our team, your daily responsibilities will involve conducting thorough peer code reviews and offering insightful feedback for improvement. Additionally, you'll collaborate closely with researchers and other stakeholders to align with project requirements.

Job Responsibilities:

Write Python codes to work with public datasets to find insights.
Communicate with researchers to stay aligned with company goals.
Write clear codes with explanations using Jupyter notebooks
Use available public data sources (eg Kaggle) to address business related queries.

Job Requirements:

A Bachelor’s/Master’s degree in Engineering, Computer Science, or similar experience
Data scientist with at least 2 years of industry experience.
2 years of practical involvement in data analysis.
Proficient in Python with a professional tenure of 2 years.
Comprehensive understanding of data science and analysis methodologies.
Fluent in spoken and written English.

Nice to have:

Proficiency in SQL is desirable.
Strong problem-solving and analytical skills.

Job Benefits:

Collaborate with top experts worldwide and join a network aligned with your goals
Enjoy remote work flexibility without traditional job constraints
Competitive global standard salary in USD
Contribute to projects pushing the boundaries of technology, keeping you ahead in your field.

Take the next step in advancing your career by joining us today. Finish the tests and MCQs right away to increase your chances of securing one of our enticing positions. Grasp this opportunity to be instrumental in our mission and innovate the technology landscape for all.",Turing,Remote Data Scientist,Pakistan , Reposted 1 week ago , 33 applicants,Remote Full-time Entry level,Remote Full-time Entry level,Data ScienceData Analysis
"About the job
Crossover is the world's #1 source of full-time remote jobs. Our clients offer top-tier pay for top-tier talent. We're recruiting this role for our client, IgniteTech. Have you got what it takes?

The sales industry is drowning in inefficiency, yet ripe for disruption. At IgniteTech, we're not just tweaking systems; we're overhauling the sales process with advanced AI tools that change the game. Our AI-enhanced execution and predictive forecasting are not just about improvement but transformation, boosting sales efficiency and effectiveness dramatically.

In this role, you'll wield cutting-edge generative AI to not only enhance real-time sales executions but also steer long-term market forecasting. Imagine deploying AI that provides instant, deep insights during live customer interactions, or forecasting models that predict market shifts with stunning accuracy. Here, your work will directly increase sales conversions and ensure that our forecasts hit the mark, recalibrating in real time as the market evolves.

You will also integrate into a team where your efforts reshape our overarching business landscape. Your day-to-day will involve leveraging AI to streamline current sales processes and articulating complex AI benefits to non-technical stakeholders. This position is crafted for someone who thrives under pressure, loves a challenge, and is eager to push boundaries in AI and sales.

If the prospect of leading such transformative initiatives excites you, IgniteTech is your stage. This is where you can make a significant impact, leading the charge in AI-driven sales innovation. Ready to lead the future of B2B sales with groundbreaking AI? Apply now and join us in setting new industry standards at IgniteTech.

What You Will Be Doing

AI-Enhanced Sales Execution: Direct application of GenAI technologies to facilitate and enhance the day-to-day execution of sales activities.
Advanced Sales Forecasting and Market Analysis: Oversee advanced analytics projects that use AI to forecast long-term market trends and sales performance.
Drive AI Adoption: Lead initiatives to deploy AI-driven tools that assist sales teams in real-time during customer interactions and sales negotiations.

Software Sales Specialist Key Responsibilities

Drive significant improvements in sales efficiency and effectiveness through the development and implementation of AI-driven sales tools.

Basic Requirements

Professional experience leveraging multiple LLMs (ChatGPT, Gemini, Claude, etc.) and AI tools to automate manual tasks and boost your company's productivity (if you've only ever used ChatGPT, that's probably not enough)
At least 3 years of experience in B2B software sales

About IgniteTech

If you want to work hard at a company where you can grow and be a part of a dynamic team, join IgniteTech!

Through our portfolio of leading enterprise software solutions, we ignite business performance for thousands of customers globally. We’re doing it in an entirely remote workplace that is focused on building teams of top talent and operating in a model that provides challenging opportunities and personal flexibility.

A career with IgniteTech is challenging and fast-paced. We are always looking for energetic and enthusiastic employees to join our world-class team.

We offer opportunities for personal contribution and promote career development. IgniteTech is an Affirmative Action, Equal Opportunity Employer that values the strength that diversity brings to the workplace.

There is so much to cover for this exciting role, and space here is limited. Hit the Apply button if you found this interesting and want to learn more. We look forward to meeting you!

Working with Crossover

This is a full-time (40 hours per week), long-term position. The position is immediately available and requires entering into an independent contractor agreement with Crossover. The compensation level for this role is $50 USD/hour, which equates to $100,000 USD/year assuming 40 hours per week and 50 weeks per year. The payment period is weekly. Consult www.crossover.com/help-and-faqs for more details on this topic.

What to expect next:

You will receive an email with a link to start your self-paced, online job application.
Our hiring platform will guide you through a series of online “screening” assessments to check for basic job fit, job-related skills, and finally a few real-world job-specific assignments.

Important! If you do not receive an email from us:

First, emails may take up to 15 minutes to send, refresh and check again.
Second, check your spam and junk folders for an email from Crossover.com, mark as “Not Spam” since you will receive other emails as well.
Third, we will send to whatever email account you indicated on the Apply form - by default, that is the email address you use as your LinkedIn username and it might be different than the one you have already checked.
If all else fails, just reset your password by visiting https://www.crossover.com/auth/password-recovery if you already applied using LinkedIn EasyApply.

Crossover Job Code: LJ-5266-PK-Lahore-SoftwareSalesS.001",Crossover ,"Software Sales Specialist, IgniteTech (Remote) - $100,000/year USD","Lahore, Punjab, Pakistan ", Reposted 2 days ago , 56 applicants,$50/hr Remote Full-time Mid-Senior level,$50/hr Remote Full-time Mid-Senior level,
"About the job
Interested in a new opportunity as a Python Developer? A prominent US-based client is seeking a Python Developer.

In the role of Python Data Developer, your primary responsibility entails conducting thorough code reviews and delivering actionable feedback with accompanying documentation. Collaboration with researchers and other stakeholders is essential for project alignment.

Job Responsibilities:

Write Python codes to manage complex challenges
Work with researchers to attain business objectives
Develop code within Jupyter Notebooks and draft documentation
Identify and resolve bugs uncovered in the code
Collaborate with researchers to understand requirements and share findings
Analyze data to answer important business questions using datasets from places like Kaggle, the UN, and the US government.

Job Requirements:

Open to applicants at all levels, from junior to seasoned industry professionals.
Bachelor's degree in Engineering, Computer Science, or equivalent practical experience.
Proficiency in Python programming language for coding and debugging.
Ability to handle intermediate-level Python coding tasks and understand algorithmic concepts.
Strong problem-solving skills, complemented by exceptional reasoning and mathematical abilities.
Proficient in English with excellent communication skills for effective team collaboration.

Here's why you should join us:

Collaborate with globally renowned experts and build a network tailored to your career aspirations.
Experience the flexibility of remote work while breaking away from traditional office setups.
Receive industry-standard salaries in USD.
Contribute to innovative projects pushing the boundaries of technology, keeping you at the forefront of advancements.

Don't miss out on the opportunity to advance your career with us. Complete the tests and multiple-choice questions promptly to enhance your chances of securing one of our cutting-edge roles. Seize this opportunity to be a cornerstone of our mission and revolutionize the tech industry for everyone.",Turing,Remote Python Engineer,Pakistan , Reposted 1 week ago , 16 applicants,Remote Full-time Entry level,Remote Full-time Entry level,
"About the job
A renowned US-based client is seeking a committed Full-stack Developer to join their dynamic team.

This opportunity is tailor-made for professionals who excel in crafting innovative solutions and strive to be at the forefront of AI progress. Collaborate with various firms focused on developing cutting-edge AI solutions for commercial and research purposes.

Job Responsibilities:

Utilize Python and/or Javascript/Typescript to tackle problems while leveraging business insight and analytical prowess to enhance code functionality and streamline organizational processes.
Ensure transparent communication channels with stakeholders to support the achievement of organizational objectives.
Develop robust response mechanisms through scripting or algorithmic solutions to automatically address user queries or inputs.
Help resolve issues, document errors, and suggest precise solutions.
Collaborate effectively with researchers to comprehend requirements and deliver actionable insights.

Job Requirements:

Applications are open to everyone from fresher to seasoned experts.
Bachelor's degree in Engineering, Computer Science, or a relevant field is essential.
Understands software engineering methodologies.
Well-versed in using Python and JavaScript/TypeScript.
Clear and effective English verbal and written communication skills.

Job Benefits:

Collaborate with leading experts worldwide and become part of a network tailored to your aspirations
Enjoy remote work flexibility with no traditional job constraints
Competitive salary based on global standards in USD
Contribute to pioneering projects that push technological boundaries, keeping you at the forefront of your field.

Join us now and advance your career. Take the tests and multiple-choice questions today to increase your chances of securing one of our exciting positions. Seize this opportunity to play a pivotal role in our mission and transform the technology landscape for all.",Turing,Remote Fullstack Developer,Pakistan , Reposted 3 days ago , 33 applicants,Remote Full-time Entry level,Remote Full-time Entry level,
"About the job
Octopus Digital Limited seeks a motivated and skilled Machine Learning Engineer to join our dynamic team. The ideal candidate will possess a strong foundation in programming and statistical analysis, with experience in building and deploying machine learning models. We are looking for someone who can lead customer data meetings, collaborate with the Data Engineering Team, and drive data value initiatives. If you are a quick learner with the ability to take initiative and excel in a fast-paced environment, we encourage you to apply.

Responsibilities

Lead customer data meetings to enhance data insights.
Coordinate with the Data Engineering Team to develop ETL architecture.
Research and refine learning models for specific customer problems.
Build ML models from scratch and communicate results to product managers and stakeholders.
Deploy models and interfaces for external customers.
Train Data Teams and Analysts on ML modeling capabilities and data-driven KPIs for various industries.

Skills & Experience

1-2 years of hands-on programming experience with enterprise products.
Proficiency in multiple programming languages and a strong foundation in statistical platforms such as Python, R, or MatLab.
Experience in building datasets and ML models.
Quick learner with the ability to take initiative and lead data value projects.",Avanceon Middle East & South Asia,Machine Learning Engineer,"Lahore, Punjab, Pakistan ", 1 month ago , 0 applicants,Hybrid Full-time Entry level,Hybrid Full-time Entry level,
"About the job
Description du poste

Intitulé du poste

ALTERNANT(E) – DATA SCIENTIST H/F

Type de contrat

Apprentissage

Description de la mission

QUI SOMMES NOUS ?

Lefebvre Dalloz est le leader européen de la connaissance juridique et fiscale en France, qui unit les savoir-faire et les expertises d’acteurs incontournables dans les domaines de l’édition, de la formation et des solutions logicielles parmi lesquels : Editions Francis Lefebvre, Editions Dalloz, Editions Législatives, Francis Lefebvre Formation, Dalloz Formation, Elegia Formation, CSP Docendi et Bärchen.

Nous Nous Adressons

 Aux entreprises, de toutes tailles et de tous secteurs : directions générales, directions juridiques, directions des ressources humaines et de la formation, directions administratives et financières ;
 Aux professions réglementées : avocats, experts-comptables, notaires, huissiers, magistrats ;
 Aux acteurs publics et services de l’Etat.
 Aux étudiants

Notre groupe compte plus de 2600 collaborateurs répartis dans 8 pays d’Europe.

POURQUOI NOUS REJOINDRE ?

Rejoindre Lefebvre Dalloz, c’est intégrer une équipe aux valeurs fortes : excellence, proximité, partage - cultivées depuis toujours par une communauté de professionnels dont l’objectif est d’accompagner au quotidien la performance de ses clients.

DESCRIPTIF DU POSTE

Missions

Au sein du service data Office et plus précisément dans l’équipe « data science, tu auras pour mission (sous la supervision de votre maître de stage) de :

 Répondre à la sollicitation des métiers internes pour les aider à analyser leurs activités
 Recueillir les demandes, identifier les enjeux et les besoins ainsi que les indicateurs clés
 Vous approprier le besoin et le traduire en projet
 Identifier des données internes et externes nécessaires à l’analyse
 Structurer et rassembler les données :
 Synthétiser les données collectées
 Enrichir les données internes par des données externes
 Préparer des données (nettoyages, création d’agrégats…)
 Analyser les données et construire des algorithmes industrialisables :
 Mettre en place une méthodologie d’analyse
 Construire des features et analyses de pertinence
 Si possible : Construire des modèles de machine learning pour répondre aux enjeux métiers
 Contrôler et piloter la dérive des modèles
 Tester, contrôler la qualité et la cohérence des résultats avec le client interne
 -, par des démos régulières, les avancées des études aux cotés des équipes Data Science et métiers

Apports De La Mission

Riche en diversité et en échanges avec les différentes lignes de métier, fonctions, maisons d’éditions et organisme de formations, ce poste te permettra d’instaurer une relation de confiance auprès de tes interlocuteurs, tout en développant tes compétences techniques indispensables au data scientist

Profil

Tu recherches un contrat en alternance d'une durée de 12 mois, débutant en Septembre ou Octobre 2021 dans le cadre d'une formation de niveau Bac +5 en Data Science de type Ecole d'Ingénieur.

Pour ce poste, tu justifies d'une première expérience dans les langages Python et R, ainsi qu'en statistiques, Data Mining. Des connaissances du logiciel Dataiku sont un +

Tu es doté(e) d’un fort esprit analytique, tu fais preuve d’autonomie et reconnu(e) pour ta rigueur, ta capacité à produire, à synthétiser et à collaborer.

Tenté(e) par l’aventure ? Rejoins-nous ! Nous accompagnerons ta montée en compétence sur des missions variées / stimulantes au sein d’une équipe bienveillante / créative / pleine d’énergie / d’experts et d’un groupe en pleine transformation !

Ce poste est ouvert aux personnes en situation de handicap",Lefebvre Dalloz | Editions Dalloz,ALTERNANT(E) – DATA SCIENTIST H/F,"Karāchi, Sindh, Pakistan ", 2 months ago , 0 applicants,On-site Full-time Internship,On-site Full-time Internship,
"About the job
A renowned US-based client is seeking a committed Full-stack Developer to join their dynamic team.

This opportunity is tailor-made for professionals who excel in crafting innovative solutions and strive to be at the forefront of AI progress. Collaborate with various firms focused on developing cutting-edge AI solutions for commercial and research purposes.

Job Responsibilities:

Utilize Python and/or Javascript/Typescript to tackle problems while leveraging business insight and analytical prowess to enhance code functionality and streamline organizational processes.
Ensure transparent communication channels with stakeholders to support the achievement of organizational objectives.
Develop robust response mechanisms through scripting or algorithmic solutions to automatically address user queries or inputs.
Help resolve issues, document errors, and suggest precise solutions.
Collaborate effectively with researchers to comprehend requirements and deliver actionable insights.

Job Requirements:

Applications are open to everyone from fresher to seasoned experts.
Bachelor's degree in Engineering, Computer Science, or a relevant field is essential.
Understands software engineering methodologies.
Good understanding of Python and JavaScript/TypeScript.
Clear and effective English verbal and written communication skills.

Job Benefits:

Collaborate with leading experts worldwide and become part of a network tailored to your aspirations
Enjoy remote work flexibility with no traditional job constraints
Competitive salary based on global standards in USD
Contribute to pioneering projects that push technological boundaries, keeping you at the forefront of your field.

Join us now and advance your career. Take the tests and multiple-choice questions today to increase your chances of securing one of our exciting positions. Seize this opportunity to play a pivotal role in our mission and transform the technology landscape for all.",Turing,Remote Fullstack Programmer,Pakistan , Reposted 3 days ago , 36 applicants,Remote Full-time Entry level,Remote Full-time Entry level,
"About the job
About TCP (TimeClock Plus):

For more than 30 years, TCP has helped organizations engage their people by providing flexible, mobile timekeeping and workforce management solutions. Trusted by tens of thousands of customers and millions of users, TCP delivers best-in-class technology and personalized support to organizations of all sizes in the public and private sector to meet their complex timekeeping, employee scheduling, leave management and other workforce needs. We recently embraced our new, refreshed brand which we feel fully embodies our commitment to innovation while also completing our first acquisition of Humanity, an industry-leading cloud-based scheduling platform. Growth is happening and our vision for a successful future is clear - We'd love for you to join us on this journey! For more information on TCP, visit www.tcpsoftware.com or follow us on LinkedIn or Facebook.

Job Overview:
We are seeking a DevOps Engineer to join our team and work on building, deploying, and maintaining our software systems. The successful candidate will work closely with our development and operations teams to ensure the smooth and efficient operation of our software delivery pipeline. The DevOps Engineer will be responsible for designing, building, and maintaining automation tools and infrastructure, as well as collaborating with other teams to implement DevOps best practices.

Responsibilities:
Design, build, and maintain automation tools and infrastructure for software development, testing, and deployment
Collaborate with development and operations teams to implement DevOps best practices and optimize our software delivery pipeline
Implement and maintain continuous integration and continuous delivery (CI/CD) pipelines
Monitor and maintain system health and performance, ensuring high availability and reliability of our applications
Work closely with development teams to ensure code quality, security, and compliance with coding standards and best practices
Troubleshoot and resolve issues related to software deployment and infrastructure
Develop and maintain technical documentation, including system diagrams, standard operating procedures, and runbooks

Requirements:
Bachelor's degree in computer science, information technology, or a related field
3-6 years of experience in a DevOps role
Strong understanding of software development principles and practices, including agile methodologies
Experience with DevOps tools and technologies, such as Jenkins, Git, Docker, and Kubernetes
Hands on experience with Amazon Web Services (AWS).
Experience with configuration management tools such as Ansible, Puppet, or Chef
Excellent communication skills and the ability to work collaboratively with internal and external stakeholders
Strong problem-solving skills and the ability to think creatively to solve complex problems
Ability to work independently with minimal supervision

Preferred Qualifications:
DevOps certifications, such as AWS Certified DevOps Engineer 
Experience with scripting languages such as Python, Bash, or Ruby
Experience with containerization and container orchestration platforms, such as Docker and Kubernetes",TCP Software,Senior AWS Engineer,"Lahore, Punjab, Pakistan ", Reposted 2 days ago , Over 100 applicants,On-site Full-time Associate,On-site Full-time Associate,
"About the job
Who We Are

Motive empowers the people who run physical operations with tools to make their work safer, more productive, and more profitable. For the first time ever, safety, operations and finance teams can manage their drivers, vehicles, equipment, and fleet related spend in a single system. Combined with industry leading AI, the Motive platform gives you complete visibility and control, and significantly reduces manual workloads by automating and simplifying tasks.

Motive serves more than 120,000 customers – from Fortune 500 enterprises to small businesses – across a wide range of industries, including transportation and logistics, construction, energy, field service, manufacturing, agriculture, food and beverage, retail, and the public sector.

Visit gomotive.com to learn more.

About The Role

Solution Engineers work tightly with customers on generating custom reports on Tableau, data extracts, building custom data pipelines in Snowflake, and providing Best Practices for working with the Motive platform. They support and advocate for our users and focus on delivering quality. The frontline of the organization, Solution Engineers are responsible for meeting customer project deadlines, customer satisfaction for services, and identifying leads/upsell opportunities.

What You'll Do

Collaborate with customers and various internal teams like Customer Success, support, and OPM teams to understand a client’s data requirements.
Build customized reports through Tableau and other data needs via Python, snowflake, airflow, Kibana, etc.,
During customer trials, guide potential customers to tease out their burning questions and then analyze Motive’s data lake to provide insights
Capture and share best-practice knowledge amongst the internal KT stakeholders in sales, marketing, customer success, and R&D departments
Participate in QA and code review and other process improvements.

What We're Looking For

4-6 years of engineer/consulting experience with databases and/or reporting
4+ years of experience working in data analysis/data science
Working knowledge of software development tools and methodologies
Experience with data architecting/operating solutions built on enterprise SaaS or other public cloud vendors like Snowflake, Airflow, Kibana, etc.,
Technical degree preferred; Computer Science, Computer Engineering, or Math background desired

Creating a diverse and inclusive workplace is one of Motive's core values. We are an equal opportunity employer and welcome people of different backgrounds, experiences, abilities and perspectives. 

Please review our Candidate Privacy Notice here.

The applicant must be authorized to receive and access those commodities and technologies controlled under U.S. Export Administration Regulations. It is Motive's policy to require that employees be authorized to receive access to Motive products and technology.",Motive,Senior Solutions Engineer - Data Insights,Pakistan , Reposted 2 days ago , 50 applicants,Remote Full-time Mid-Senior level,Remote Full-time Mid-Senior level,"Computer Science, Data Analytics, Data Science, Databases, and Software DevelopmentAnalytical Skills, Data Analysis, Manufacturing Process Improvement, Presales, and Software Development Tools"
"About the job
METRO opened its first cash & carry wholesale center in Pakistan in 2007 & expanded to 5 wholesale centers in a short span of 18 months. In July 2012 METRO and Makro-Habib combined their wholesale business in Pakistan marking the beginning of a long-term partnership to the mutual benefit of both companies. The merger allowed METRO and Makro-Habib to combine resources and gain the financial strength to lead and grow in a challenging environment and to gain synergies targeted to generate value for our customers and suppliers alike. Today the company is operating 10 wholesale centers in Lahore, Karachi, Multan, Islamabad & Faisalabad.
METRO Pakistan (Pvt) Limited is part of METRO GROUP’s sales division METRO Cash & Carry, the international leader in self-service wholesale. The company operates more than 750 stores in 25 countries in Europe, Asia and Africa and has a workforce of over 107,000 employees. Sales in 2016/17 were approximately 37 billion Euro.

Job Description

Shadowing the sales process, from initial contact to closing deals.
Supporting the Sales team to conduct customer needs analysis.
Assisting Sales Team to prepare and deliver sales presentations and proposals.
Conducting market research to identify trends, competitors, and potential growth opportunities.
Analyzing sales data to provide insights, present tailored solutions and recommendations for improving sales strategies.
Providing excellent customer service by addressing inquiries and resolving issues promptly.
Gaining in-depth knowledge of METRO Pakistan’s product offerings and services.
Learning and understanding METRO Pakistan’s sales processes.
Working with Sales Team to develop and implement promotional campaigns and sales initiatives.
Maintaining accurate records of customer interactions and sales activities.

Qualifications

Recent graduates with a degree in Business, Marketing, Supply Chain or related fields.

Additional Information

Strong interest in sales, particularly within the wholesale/ retail sector.
Excellent communication and interpersonal skills.
Ability to work collaboratively in a team environment.
Proficiency in Microsoft Office Suite (Word, Excel, PowerPoint).
Analytical mindset with the ability to interpret sales data and market trends.",METRO Pakistan (Pvt) Limited,Sales Apprenticeship,"Faisalabad, Punjab, Pakistan ", 3 weeks ago , Over 100 applicants,On-site Internship,On-site Internship,
